index,vendor,company_name,company_number,known_address,status,urls_count,scrape_count,error,ext_company_name,ext_company_number,ext_incorporation_date,ext_address,ext_postal_code,ext_city,ext_country,ext_about,ext_services,ext_industry,ext_sic_codes,ext_directors,ext_other_info,ext_confidence,ext_match_reasoning,ext_trading_name,ext_phone,ext_email,ext_website,ext_products,ext_employees,ext_turnover,ext_key_contacts,ext_linkedin,ext_certifications,ext_partners,ext_clients,ext_fax,ext_-_company_status,ext_-_company_type,ext_-_accounts_category,ext_-_financial_year_end,ext_-_latest_annual_accounts,ext_-_next_annual_accounts_due,ext_-_latest_confirmation_statement,ext_-_next_confirmation_statement_due,ext_-_company_size,ext_-_persons_with_significant_control_(psc),ext_vat_number,ext_twitter,ext_facebook,ext_other_social,ext_-_next_accounts_made_up_to,ext_-_next_accounts_due_by,ext_-_last_accounts_made_up_to,ext_-_next_confirmation_statement_date,ext_-_next_confirmation_statement_due_by,ext_-_last_confirmation_statement_dated,ext_-_director_nadine_charles's_nationality,ext_-_director_nadine_charles's_country_of_residence,ext_-_director_nadine_charles's_date_of_birth,ext_-_initial_registered_office_address_(before_change_on_26_october_2020),ext_-_age,ext_-_previous_registered_address,ext_-_cash_in_bank,ext_-_net_worth,ext_-_total_assets,ext_-_total_liabilities,ext_-_debt_ratio,ext_-_previous_company_name,ext_-_previous_registered_office_address,ext_-_person_with_significant_control_(psc),ext_-_size,ext_-_jurisdiction_authority,ext_-_vat_issuing_authority,ext_-_vat_status,ext_-_vat_number_issued,ext_-_previous_company_names,ext_-_end_of_financial_year,ext_-_financials_(as_of_31_dec_2024),ext_-_mutual_companies_(through_shared_directors),ext_-_financials_(as_of_31_dec_2023),ext_awards,ext_-_incorporated_in,ext_-_next_confirmation_statement_due_date_(as_of_2017)
22,Kerry Taste & Nutrition (Ireland) L,KERRY ELIZABETH LASER & SKIN CLINIC LTD,NI709777,"4 Back Road, Cargacreevy, Lisburn, BT27 6TR",success,10,9,,KERRY ELIZABETH LASER & SKIN CLINIC LTD,NI709777,7 February 2024,"4 Back Road, Cargacreevy, Lisburn, Northern Ireland, BT27 6TR",BT27 6TR,Lisburn,Northern Ireland,"Kerry Elizabeth Laser & Skin Clinic Ltd is an active private limited company incorporated on 7 February 2024. The clinic, owned by Kerry Elizabeth Allen, an Advanced Cosmetic Practitioner, Registered General Nurse, and Independent Prescriber, specializes in a vast number of Cosmetic Injectables, Laser & Skin Treatments. It operates from a purpose-built, bespoke clinic on the outskirts of Lisburn and is a RQIA Registered Clinic.","Cosmetic Injectables (Botox, Lip Flip, Frown, Crows Feet, Forehead, Lip Filler, 0.3ml, 0.5ml, 0.7ml, 1ml Lips), Laser Treatments (Tread Veins & Pigmented Legions, Permanent Hair Reduction, Skin Rejuvenation, Acne Therapy, Tattoo Removal, Carbon Doll Facial, Fungal Nail Treatment, Laser Hair Removal for various body parts), Skin Treatments (Milia or Blackhead Extraction, LED Light Therapy, Derma-Planing, Epionce Peels, BioRePeel, TCA Chemical Peels, ProHydraFacial Deluxe, Vampire Facial, Platelet-Rich Plasma (PRP), Microneedling, AquaGold Fine Touch TM Facial, Exosomes Facial), Consultations (Injectables, Skin, Laser Consultation & Patch Test).","Hairdressing and other beauty treatment, Aesthetic Medicine",96020,Kerry Elizabeth Allen,"Company Status: Active. Company Type: Private limited company. Size: Micro. Financials (as of 28 Feb 2025): Cash in Bank £4.85K, Total Assets £16.55K, Total Liabilities -£14.1K, Net Assets £2.45K, Debt Ratio (%) 85%. Operating Hours: Monday 3pm — 8pm, Tuesday 6pm — 9pm, Thursday 3pm — 8pm, Friday 10am — 4pm, Saturday 10am — 3pm.",high,"The registered company name ""KERRY ELIZABETH LASER & SKIN CLINIC LTD"" and the known address ""4 Back Road, Cargacreevy, Lisburn, BT27 6TR"" perfectly match across all official sources (Companies House, Endole, Companies in the UK) and the company's own website. The company number NI709777 is also consistently linked to this entity. All extracted information directly pertains to this specific company.","Kerry Elizabeth Aesthetics, Kerry Elizabeth Laser & Skin Clinic, Kerry Elizabeth: Aesthetics, Laser & Skin",07548 299997,,https://www.kerryelizabethaesthetics.co.uk/,Full Range of Epionce Skincare Products,1 (under 10 employees),under £1M (unreported specific figure),"Kerry Elizabeth Allen (Director, Owner, Advanced Cosmetic Practitioner, Registered General Nurse, Independent Prescriber), Nurse Christina, Nurse Anna",,RQIA Registered Clinic,,,,,,,,,,,,,,,,,https://www.instagram.com/kerryelizabeth_laserandskin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GB Home Adaptations Ltd.,GB GROUP (CORPORATE) LIMITED,13182346,"Beech Lane Beech Lane, Rotherwas Industrial Estate, Hereford, HR2 6FG",success,9,9,,GB GROUP (CORPORATE) LIMITED,13182346,5 February 2021,"Beech Lane Beech Lane, Rotherwas Industrial Estate, Hereford, United Kingdom, HR2 6FG",HR2 6FG,Hereford,United Kingdom,"The company operates in the construction sector, focusing on electrical installation, plumbing, heat and air-conditioning installation, other construction installation, and joinery installation. It was previously known as GB Home Adaptations Limited.","Electrical installation, Plumbing, heat and air-conditioning installation, Other construction installation, Joinery installation","Construction, Installation Services","43210 - Electrical installation, 43220 - Plumbing, heat and air-conditioning installation, 43290 - Other construction installation, 43320 - Joinery installation","Christopher Greenall, Mark Albert Stedman, Shane Adams, Matthew Ernest Edwards","Company status: Active. Company type: Private limited Company. Age: 4 years (as of incorporation date). Size: Small (under £7.5M balance sheet, under 50 employees). Previous company name: GB HOME ADAPTATIONS LIMITED (from 05 Feb 2021 to 26 Nov 2024). Registered office address changed on 12 Feb 2025 from Unit 21 Beech Business Park Tillington Road Hereford HR4 9QJ United Kingdom. Charges: 2 outstanding with Lloyds Bank PLC (registered 28 Feb 2025), 1 satisfied with National Westminster Bank PLC (created 30 Apr 2021, satisfied 21 Oct 2022). Person with Significant Control (PSC): GB Corporate Holdings Limited. Matthew Ernest Edwards was a PSC but ceased. Mutual companies: GB Electrical And Building Services Ltd, GB Corporate Holdings Limited, GB Home Adaptations Limited.",high,"The registered company name ""GB GROUP (CORPORATE) LIMITED"" and the known address ""Beech Lane Beech Lane, Rotherwas Industrial Estate, Hereford, HR2 6FG"" perfectly match the target company details. The vendor name ""GB Home Adaptations Ltd."" is confirmed as the company's previous registered name, further solidifying the match. All extracted information is consistent across multiple official and reputable company data sources.",,,,Gbhereford.co.uk,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,I.T. Enviro Logic Ltd.,I.T. ENVIRO LOGIC LIMITED,05883612,"Unit 2 Charnwood Park, Clos Marion, Cardiff, CF10 4LJ",success,10,8,,I.T. ENVIRO LOGIC LIMITED,05883612,21 July 2006,"Unit 2 Charnwood Park, Clos Marion, Cardiff, Wales, CF10 4LJ",CF10 4LJ,Cardiff,Wales (United Kingdom),"I.T. Enviro Logic Limited, trading as I-Tel and I-Tel Group, is a UK-registered company that provides comprehensive procurement solutions. They supply a wide range of business, office, medical, hygiene, PPE, and technology products, alongside various business services.","Core Services, External Resourcing, Partner with I-Tel, Procurement, Facilities and Asset Management, Warehousing, Accounts, Marketing","Other professional, scientific and technical activities not elsewhere classified (General Business Supplies, Procurement Solutions)",74909,"Melvin John Gauci, Andrew James Plummer",Previous company names include I-TEL LASER SUPPLIES LTD (03 Jan 2007 - 16 Jan 2008) and IT WORKS WALES LIMITED (21 Jul 2006 - 03 Jan 2007). The company is classified as a Micro company.,high,"All extracted information consistently points to the target company ""I.T. Enviro Logic Ltd."" using its registered company number (05883612) and registered address (Unit 2 Charnwood Park, Clos Marion, Cardiff, CF10 4LJ) across multiple official and company-affiliated sources (Companies House, Endole, itelsupplies.co.uk, itelgroup.co.uk). The trading names ""I-Tel"" and ""I-Tel Group"" are explicitly linked to the registered company.","I-Tel, I-Tel Group",029 20492111,,"https://www.itelsupplies.co.uk/, https://www.itelgroup.co.uk/","Business Supplies (Stationery, Files, Pockets, Binders, Pens & Pencils, Arts & Crafts, Adhesives & Tapes, Desktop Accessories, Paper & Envelopes, Books & Pads, Labels), General Supplies (Office Environment, Safety & Security, Mailroom & Warehouse, Catering, Clothing), Medical, Hygiene & PPE, Office Machine Supplies (Laminator Supplies, Dictation Tapes, Fax Rolls, Labelmaker Tapes, Shredder Supplies), Printer Cartridges, Technology (Computing, Laptops, Desktop, Tablets, Mobile Phones, Peripherals, Monitors, Input devices, Scanners, Projectors, Cables, Printers, Multifunctionals, Laser printers, Inkjet printers, Print & scan accessories, Plastic card printers, TV & Audio, Cameras & Camera Accessories), Office Machines (Calculators, Dictation Machines, Fax Machines, Labelmakers), Components (Interface Components, Chassis Components, PC/Workstation Barebones, System Components), Furniture (Chairs & Seating, Tables & Desks, Office Storage, Filing Cabinets, Cupboards/Lockers, Bookcases, Pedestals, Screens, Canteen Furniture)",9 (as of 31 July 2024),"Under £1M (classified as Micro company, specific figure unreported for 31 July 2024)","Mr Melvin John Gauci (Person with Significant Control), Mr Andrew James Plummer (Person with Significant Control)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IDP Surveying Ltd.,IDP SURVEYING LIMITED,08242102,"Rose Cottage Bowling Green Lane, Manfield, Darlington, DL2 2RL",success,10,8,,IDP SURVEYING LIMITED,08242102,5 October 2012,"Rose Cottage Bowling Green Lane, Manfield, Darlington, County Durham, DL2 2RL",DL2 2RL,Darlington,United Kingdom,"IDP Surveying Limited is an active private limited company incorporated in the United Kingdom. It operates in the professional, scientific, and technical activities sector. The company is classified as a micro-entity.",,"Professional, Scientific and Technical Activities","74909 - Other professional, scientific and technical activities not elsewhere classified",Mr Kevin Shuttleworth,,high,"The company name ""IDP Surveying Ltd."" and ""IDP SURVEYING LIMITED"" along with the exact registered address ""Rose Cottage Bowling Green Lane, Manfield, Darlington, DL2 2RL"" are consistently found across multiple official sources (Companies House, VAT lookup, Endole). The company number and VAT number also match perfectly.",IDP Surveying Ltd.,07850504063,,,,1,Under £1M,"Mr Kevin Shuttleworth (Director, Person with Significant Control)",,,,,,Active,Private Limited Company,,,,,,,,,GB257658223,,,,,,,,,,,,,,,,,,,,,,,,,Companies House,HMRC (HM Revenue & Customs),Valid VAT Number,Before November 2009,,,,,,,,
26,Chequer Pub Ltd.,CHEQUER PUB LIMITED,14234114,"2 High Street, Barkingside, IG6 2DD",success,10,9,,CHEQUER PUB LIMITED,14234114,14 July 2022,"2 High Street, Barkingside, Essex, United Kingdom, IG6 2DD",IG6 2DD,Barkingside,United Kingdom,CHEQUER PUB LIMITED is an active private limited company incorporated on 14 July 2022. It operates as a public house and bar and is classified as a micro-entity.,Public house and bar services.,Public houses and bars,56302,Mr Patrick Harold,"Company status is Active. Next accounts made up to 31 July 2025 due by 30 April 2026. Next confirmation statement date 2 August 2026 due by 16 August 2026. Compulsory strike-off action was discontinued on 22 October 2025. Total Assets £48.09K, Total Liabilities -£20.15K, Net Assets £27.94K (as of 31 July 2024). Cash in Bank £100 (as of 31 July 2023).",high,"All extracted information is directly from official company registration sources (Companies House, Endole, BizStats) and explicitly matches the target company's registered name (CHEQUER PUB LIMITED) and address (2 High Street, Barkingside, IG6 2DD) and company number (14234114). The website for ""Chequers Walton"" was identified as a different entity and excluded.",,,,,,Under 10 employees,Under £1M,"Mr Patrick Harold (Director, Person with Significant Control - owns 75% or more shares and voting rights, has right to appoint/remove directors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Conexia Ltd.,CONEXIA LIMITED,03949686,"Golden Cross House, 8 Duncannon Street, London, WC2N 4JF",success,10,9,,CONEXIA LIMITED,03949686,13 March 2000,"Golden Cross House, 8 Duncannon Street, London, Greater London, United Kingdom, WC2N 4JF",WC2N 4JF,London,United Kingdom,Human resources provision and management of human resources functions. Operates the Peregrine brand which provides talent strategy and solutions to build diverse teams that address the UK's digital skills gap.,"Human resources provision, management of human resources functions, talent strategy, solutions for building diverse teams, addressing digital skills gaps.","Human Resources, Talent Acquisition, Recruitment",78300 - Human resources provision and management of human resources functions,"Adam Joseph Blake, Briony Lydon, Peter Derek Wallace",,high,"The target company name ""Conexia Ltd."" and its registered company name ""CONEXIA LIMITED"" along with the company number ""03949686"" and known address ""Golden Cross House, 8 Duncannon Street, London, WC2N 4JF"" are explicitly matched across all primary sources (Endole, Companies House, TISCreport). All extracted information directly pertains to this specific entity.",Peregrine (brand for talent strategy and solutions),01132207524,,Capitaresourcing.co.uk (Note: This was the website when the company was named Capita Resourcing Limited),,590 (as of 31 December 2024),£45.75M (as of 31 December 2024),,,,INSPIRIT MANAGEMENT LIMITED (Ultimate parent company),,,Active,Private limited Company,,,,,,,"Medium (Endole), Large enterprise (TISCreport)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPITA RESOURCING LIMITED (23 Nov 2004 - 08 Jun 2023), ETEACHERS LIMITED (16 Mar 2000 - 23 Nov 2004), SUPPLY TEACHING LIMITED (13 Mar 2000 - 16 Mar 2000)",31 December,"Cash in Bank £538K, Total Assets £28.8M, Total Liabilities -£2.21M, Net Assets £26.59M, Debt Ratio 8%","Inspirit Paddington Topco Limited, Inspirit Paddington Bidco Limited, Inspirit Carrey Topco Limited, Inspirit Carrey Bidco Limited, Inspirit Pine Bidco Limited, Inspirit Number Three Limited, Inspirit Lavender Holdco Limited, Inspirit Lavender Bidco Limited.",,,,
28,DE & JR Lewis,ASHLEY & LEWIS PROPERTY DEVELOPMENTS LIMITED,14500566,"Chester House Lloyd Drive, Cheshire Oaks Business Park, Ellesmere Port, CH65 9HQ",success,10,7,,ASHLEY & LEWIS PROPERTY DEVELOPMENTS LIMITED,14500566,23 November 2022,"Chester House Lloyd Drive, Cheshire Oaks Business Park, Ellesmere Port, Cheshire, United Kingdom, CH65 9HQ",CH65 9HQ,Ellesmere Port,United Kingdom,The company is involved in the buying and selling of its own real estate.,Buying and selling of own real estate,Real Estate / Property Development,68100 - Buying and selling of own real estate,"WALTERS, Joanne Lynn; WALTERS, Robin Ashley",Company status: Active; Company type: Private limited Company; Next accounts made up to: 30 November 2025; Next accounts due by: 31 August 2026; Last accounts made up to: 30 November 2024; Next confirmation statement date: 22 November 2025; Next confirmation statement due by: 6 December 2025; Last confirmation statement dated: 22 November 2024,high,"The extracted information is directly from official Companies House records for ""ASHLEY & LEWIS PROPERTY DEVELOPMENTS LIMITED"" (Company number 14500566) and the registered office address matches the known address provided in the target company details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fury Design Agency Ltd.,FURY DESIGN AGENCY LIMITED,06884818,"1 Golden Court, Richmond, TW9 1EU",success,10,9,,FURY DESIGN AGENCY LIMITED,06884818,22 April 2009,"London Office: 16 Baldwin’s Gardens, Record Hall Studio 201, London, EC1N 7RJ, GB",EC1N 7RJ,London,United Kingdom,"From design to implementation, we deliver captivating brand experiences. We believe design innovation only comes from breaking down barriers between creative disciplines. Approaching each project with fresh energy, to transform cutting-edge concepts into breathtaking reality is what drives us. Our multidisciplinary design team challenges each brief, to create compelling stories and content that excites audiences, delights sponsors and makes your brand message approachable, attractive and fun. With this passion for creating, combined with extensive industry insight, we help our clients to develop effective strategies that deliver the best possible return on investment. No matter where in the world you’re heading, our team will be with you each step of the way. Every detail matters to us and, we’ve earned a reputation for creating unforgettable experiences in spaces that people love. We design, we create, we deliver!",Design Services,Management consultancy activities other than financial management,70229,Paul Richard Banfield,"Previous registered address (before 2022-09-11): 80 WARREN ROAD, TWICKENHAM, TW2 7DL",high,"The company number (06884818) and registered address (1 Golden Court, Richmond, TW9 1EU) are consistently found across multiple official company registers (Companies House, Endole, VAT Lookup, CompanyCheck) and match the target company details provided. The LinkedIn profile also links to the same official website (thisisfury.com) mentioned in Endole, confirming it is the same entity.",FURY DESIGN AGENCY LTD,unreported,unreported,http://www.thisisfury.com/,,13 (as of 30 April 2024),unreported,Ellie Matthews (Senior Account Director),https://uk.linkedin.com/company/fury-design-agency,,Devoncroft Limited (Paul Richard Banfield is a mutual person),,,,,,,,,,,,,GB972176695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GEA Mechanical Equipment UK Ltd.,GEA MECHANICAL EQUIPMENT UK LIMITED,00611624,"Westfalia House, Old Wolverton, Road, Old Wolverton, Milton Keynes, MK12 5PY",success,10,8,,GEA MECHANICAL EQUIPMENT UK LIMITED,00611624,22 September 1958,"Westfalia House, Old Wolverton Road, Old Wolverton, Milton Keynes, Buckinghamshire, MK12 5PY",MK12 5PY,Milton Keynes,UK,Wholesale of other machinery and equipment. The company helps designers and specifiers find solutions for their projects.,Wholesale of other machinery and equipment.,"Wholesale Trade, Machinery and Equipment",46690 - Wholesale of other machinery and equipment,"Mr Ozgur Oz (appointed 07 Jul 2025), Mr Namik Mert Tekin (appointed 12 Nov 2024)",,high,"All extracted information directly corresponds to the target company ""GEA Mechanical Equipment UK Limited"" (Company No: 00611624) as provided in the prompt, with consistent addresses and company numbers across multiple official and business directory sources.",GEA Mechanical Equipment UK,01908576500,enquiries.uk@gea.com,https://www.gea.com/en/,,76 (as of 31 Dec 2023),£26.79M (as of 31 Dec 2023),,,,"Gea Farm Technologies (UK) Ltd, Breconcherry Limited, Gea Grenco Limited, Gea Refrigeration UK Limited, Gea Group Holdings (UK) Limited, Gea Food Solutions UK & Ireland Ltd, Milfos UK Limited, Venture Dairy Services Limited (these are mutual companies within the GEA group)",,,Active,Private limited company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gea Group Holdings (UK) Limited,,,,,,"GEA WESTFALIA SEPARATOR UK LIMITED (07 Jul 2008 - 24 Nov 2011), WESTFALIA SEPARATOR LIMITED (22 Sep 1958 - 07 Jul 2008)",,,,"Net Assets £10.01M, Total Assets £20.22M, Total Liabilities -£10.21M, Debt Ratio 50%.",,,
31,Integral Environmental Solutions Lt,INTEGRAL ENVIRONMENTAL SOLUTIONS LIMITED,10489446,"Bowtell House, 254c High Road, Benfleet, SS7 5LA",success,10,9,,INTEGRAL ENVIRONMENTAL SOLUTIONS LIMITED,10489446,21 November 2016,"Bowtell House, 254c High Road, Benfleet, Essex, England, SS7 5LA",SS7 5LA,Benfleet,England,"Integral Environmental Solutions Limited is a highly accredited asbestos removal specialist based in Essex, serving clients across the UK. They offer first-class asbestos services including asbestos abatement, air testing, asbestos surveys, hazardous waste collection, and fire and acoustic installation, aiming to complete projects on time, in budget, and safely.","Asbestos Removal, Asbestos Surveys, Asbestos Abatement, Artex / Textured Coatings, Minor Demolition, Fire Damage, Insulation Works, Soft Strip, Hazardous Waste, Bitumen & Adhesive Removal, Asbestos Testing, Fire and acoustic installation.","Asbestos services, Asbestos removal specialist, Other specialised construction activities not elsewhere classified",43999,"Mr Colin Michael Greyo, Mrs Maree Ann Greyo","Company status: Active. Company type: Private limited Company. Based in Essex, serving clients across the UK.",high,"The registered company name, company number, and known address provided in the prompt perfectly match the information found on Companies House (GOV.UK) and other official company data sites. The company's website also confirms the name, number, and services, aligning with the official records.","Integral Environmental Solutions Ltd, Integral Environmental",01268 534 034,,https://www.integralenvironmental.co.uk/,,,,"Mr Colin Michael Greyo (Owner - 75% or more shares), Mrs Maree Ann Greyo (Owner - More than 25% but not more than 50% shares)",,"British Safety Council Member, Constructionline Silver Member, CHAS Elite Accreditation, SafeContractor Accreditation, Full Licence ACAD Member, HSE Asbestos Licence",,"Palace Theatre, Eddystone, Kingston Hospital, The Dorchester Hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,J & K Hospitality Ltd.,J & K HOSPITALITY LTD,14432786,"Farmers Boy, Barns Lane, Walsall, WS4 1HH",success,10,9,,J & K HOSPITALITY LTD,14432786,20 October 2022,"Farmers Boy, Barns Lane, Walsall, West Midlands, United Kingdom, WS4 1HH",WS4 1HH,Walsall,United Kingdom,J & K Hospitality Ltd operates public houses and bars.,"Public houses, Bars","Hospitality, Public houses and bars",56302 - Public houses and bars,"Jonathan GREEN (Director, Person with Significant Control), Adam NEAL (Director)",Company status: Active. Company type: Private Limited Company. Accounts overdue (as of the last check on Companies House). VAT number estimated to be issued October 2023.,high,"All extracted information directly matches the target company name, registered address, and company number across multiple official and reliable sources like Companies House and VAT lookup services.",,,,,,,,"Jonathan GREEN (Director, Person with Significant Control - owns 75% or more shares)",,,,,,,,,,,,,,,,GB428484078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kent Foods Ltd.,KENT FOODS LIMITED,SC141654,"Albex House Westpoint Business Park, 1 Marchfield Drive, Paisley, PA3 2RB",success,9,8,,KENT FOODS LIMITED,SC141654,9 December 1992,"Albex House Westpoint Business Park, 1 Marchfield Drive, Paisley, Scotland, PA3 2RB",PA3 2RB,Paisley,Scotland,"Kent Foods is a supplier of sugars, sweeteners, dairy products, oils, and fats to the food manufacturing industry. They stock and supply a wide range of related ingredients, sourcing direct from growers and manufacturers. They have over twenty five years of experience in sourcing and supplying key ingredients to their customers. Their global working knowledge and connections enable them to source direct from growers and manufacturers. They export to EU countries, Middle East, Russia and CIS countries, Hong Kong, Japan and Taiwan.","Wholesale, distribution, export","Food and drink, Wholesale, Retail and luxury","46330 - Wholesale of dairy products, eggs and edible oils and fats, 46390 - Non-specialised wholesale of food, beverages and tobacco","John McGregor Dalglish (Director, Appointed 21 Dec 1992), Donal Kennedy (Director, Appointed 26 Jun 2012)","Company status: Active. Company type: Private limited Company. Incorporated in Scotland. Age: 32 years. Previous company name: BASEBEGIN LIMITED (09 Dec 1992 - 08 Jan 1993). Net Assets: £30.15M (2024). Total Assets: £74.04M (2024). Total Liabilities: -£43.89M (2024). Debt Ratio: 59% (2024). Exports to: EU countries, Middle East, Russia and CIS countries, Hong Kong, Japan, Taiwan, Armenia, Azerbaijan, Belgium, China, Cyprus, Egypt, France, Greece, Kuwait, Lebanon, Malta, Romania, Saudi Arabia, Turkey, Ukraine, United Arab Emirates. Languages spoken by staff/company: Dutch; Flemish, English, French, German, Polish, Spanish, Turkish.",high,"All extracted information consistently refers to ""KENT FOODS LIMITED"" with company number SC141654 and the specified registered address (Albex House Westpoint Business Park, 1 Marchfield Drive, Paisley, PA3 2RB) across multiple official and reputable business information sources (GOV.UK Companies House, Endole, CompanyCheck, business.gov.uk). The data is highly consistent and directly verifiable.",Kent Foods,01418829999,,http://www.kentfoods.co.uk,"Sugars, sweeteners, dairy products, oils, fats, food ingredients, cake mix",266 (as of 2024),£336.31M (as of 31 December 2024),"Mr Henry Murray McGarvie (Company Secretary, Appointed 06 Sep 2023), The Albex Group Limited (Person with Significant Control)",,,"The Albex Group Limited, Paramount Chocolate Company Limited, Rainbow Dust Limited, HMS 485 Properties Limited, HMS Barberry Limited, HMS Severn Limited, Paramount Flavours & Essences Ltd, Albex Group Services Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ANL France S.A.R.L.,ANDREW EARLES (ANLABY COMMON) LIMITED,08059430,"274 Hull Road, Anlaby Common, Hull, HU4 7RR",success,10,9,,ANDREW EARLES (ANLABY COMMON) LIMITED,08059430,8 May 2012,"274 Hull Road, Anlaby Common, Hull, HU4 7RR",HU4 7RR,Hull,United Kingdom,"Andrew Earles is the largest independent holiday company in the East Riding, established since 1993. They offer bespoke holidays, working with leading operators to provide a high level of service and specialist knowledge across various destinations (Cruise, USA, Far East, City Breaks, Luxury Long Haul). They aim to provide peace of mind and unique holiday experiences.","Travel agency activities, holiday planning, bespoke holiday creation, cruise bookings (ocean and river), long-haul flight only bookings, assistance with online check-in, assistance with ESTA applications, visa application assistance (Australian E-Visitor, US ESTA, Indian, Canadian, Kenyan, Cambodian, Oman, Vietnam, Sri Lanka, New Zealand), payment plans, 24-hour emergency support, price matching.","Travel Agency, Travel Arrangements",79110,"Alistair Charles Hart, Sally Hart","Company status: Active. Company type: Private limited Company. Accounts category: Micro. Has three branch locations: Hull (81 Ferensway, HU2 8LD), Brough (Unit 2 Welton Road, HU15 1AF), and Anlaby (274 Hull Road, HU4 7RR). Alistair Charles Hart holds more than 50% but less than 75% of shares and voting rights, and has the right to appoint or remove directors. Sally Hart holds more than 25% but not more than 50% of shares and voting rights, and has the right to appoint or remove directors. The company attends business expos (e.g., East Yorkshire Business Expo).",high,"The registered company name ""ANDREW EARLES (ANLABY COMMON) LIMITED"" and the known address ""274 Hull Road, Anlaby Common, Hull, HU4 7RR"" are explicitly and consistently mentioned across all provided sources, including official government registries (GOV.UK, CompaniesintheUK) and the company's own website and LinkedIn profile. All extracted information directly pertains to this specific entity.","Andrew Earles, Andrew Earles Holidays, Andrew Earles Travel","01482 581777 (Anlaby branch), 01482 581888 (Hull branch), 01482 334545 (Brough branch)","anlaby@andrewearles.co.uk, hull@andrewearles.co.uk, brough@andrewearles.co.uk, info@andrewearles.co.uk, sales@andrewearles.co.uk",https://www.andrewearles.co.uk/,,11-50,,"Alistair Charles Hart (Person with Significant Control, Director), Sally Hart (Person with Significant Control, Director), Samantha Wiseman (Travel Consultant), Charlotte Wann (Staff), Andrew Earle (Founder/Brand namesake)",https://uk.linkedin.com/company/andrew-earles-holidays,"ABTA, ATOL",Leading travel operators (unspecified),,,,,,,,,,,,,,https://twitter.com/aearletravel,"https://www.facebook.com/andrewearlesholidays, Hull Branch Facebook, Brough Branch Facebook, Anlaby Branch Facebook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorkshire's Top Agency, TTG Top 50",,
35,Basingstoke And Deane Borough Counc,BASINGSTOKE AND DEANE CANOE CLUB ,08257472,"5 The Drive, Oakley, Basingstoke, RG23 7DA",success,10,7,,BASINGSTOKE AND DEANE CANOE CLUB,08257472,17 October 2012,"5 The Drive, Oakley, Basingstoke, Hampshire, RG23 7DA",RG23 7DA,Basingstoke,England,"Basingstoke & Deane Canoe Club (BADCC) is a charity run by volunteers, affiliated with British Canoeing. It provides safe paddlesport activities including recreational kayaking, open canoeing, and SUP (Stand Up Paddling). They offer activities for disabled young people, including those with physical disabilities and wheelchair users, with specialist coaches. The club aims to provide kayaking and canoeing activities to people who would not otherwise be able to participate in paddlesports, assisting with independence and better physical and mental wellbeing.","Kayaking, Open Canoeing, Stand Up Paddling (SUP), Coaching & Leadership, Safeguarding, Health & Safety, Courses, Club Sessions, Taster Days, Pool Programs, White Water Trips, Sea Kayak Trips, SUP Trips, Membership, Equipment Charges, bespoke taster sessions for youth groups and voluntary organisations.","Sports Activities, Other sports activities, Paddlesports",93199,"Eleanor Suzanne Naomi Booth, Alan Frank Macdonald, Peter Ernest Mansell",Registered charity number 1150412; Company is a Private Limited Company by guarantee without share capital (use of 'Limited' exemption); Active company status; Run by volunteers; Micro Entity accounts type; Company age 13 years (as of 2025).,high,"The registered company name, company number, and known address provided in the prompt directly match the information found across multiple official sources (Companies House, Company Compass) and the company's own website. The Facebook group and Axis Foundation article also clearly refer to the same entity.","Basingstoke & Deane Canoe Club, BADCC",,,https://badpaddlers.org/,,unknown (run by volunteers),,Janella Mansell (Paddlesport Officer),,Affiliated to British Canoeing,Axis Foundation (donor),Trealors College (disabled young people),,,,,,,,,,,,,,https://www.facebook.com/groups/655942207948969/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
